mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
7	7	24	1.0	0	0	4/4	2	1		I6}		G	I		I6		I		6				}	M	0	0	4, 1, 0		0	4
7	7	25	0.5	1/4	1/4	4/4	2	1		viio6		G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
7	7	51/2	0.5	3/8	3/8	4/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
7	7	26	1.0	1/2	1/2	4/4	2	1		V(6)		G	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
7	7	27	1.0	3/4	3/4	4/4	2	1		V|HC		G	I		V		V					HC		M	0	0	1, 5, 2		1	1
8	8	28	2.0	0	0	4/4	2	1		I6{	iii{	G	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
8	8	30	2.0	1/2	1/2	4/4	2	1		V65/ii		G	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
9	9	32	2.0	0	0	4/4	2	1		ii		G	I		ii		ii							m	0	0	2, -1, 3		2	2
9	9	34	2.0	1/2	1/2	4/4	2	1		V65		G	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	36	0.5	0	0	4/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
10	10	73/2	0.5	1/8	1/8	4/4	2	1		vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
10	10	37	0.5	1/4	1/4	4/4	2	1		IV		G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
10	10	75/2	0.5	3/8	3/8	4/4	2	1		ii		G	I		ii		ii							m	0	0	2, -1, 3		2	2
10	10	38	0.5	1/2	1/2	4/4	2	1		viio		G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
10	10	77/2	0.5	5/8	5/8	4/4	2	1		V		G	I		V		V							M	0	0	1, 5, 2		1	1
10	10	39	1.0	3/4	3/4	4/4	2	1		viio		G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
11	11	40	0.5	0	0	4/4	2	1		I(94)}		G	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0
11	11	81/2	0.375	1/8	1/8	4/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
11	11	327/8	0.125	7/32	7/32	4/4	2	1		ii6		G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
11	11	41	0.5	1/4	1/4	4/4	2	1		V(64)		G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
11	11	83/2	0.5	3/8	3/8	4/4	2	1		V		G	I		V		V							M	0	0	1, 5, 2		1	1
11	11	42	2.0	1/2	1/2	4/4	2	1		I|PAC{		G	I		I		I					PAC	{	M	0	0	0, 4, 1		0	0
12	12	44	2.0	0	0	4/4	2	1		V6		G	I		V6		V		6					M	0	0	5, 2, 1		1	5
12	12	46	2.0	1/2	1/2	4/4	2	1		vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
13	13	48	2.0	0	0	4/4	2	1		iii6		G	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
13	13	50	2.0	1/2	1/2	4/4	2	1		#viio6/iii		G	I		#viio6/iii		#vii	o	6		iii			o	0	0	6, 3, 9		9	6
14	14	52	2.0	0	0	4/4	2	1		iii6		G	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
14	14	54	2.0	1/2	1/2	4/4	2	1		V.ii		G	V		ii		ii							m	0	0	2, -1, 3		2	2
15	15	56	1.0	0	0	4/4	2	1		V(4)		G	V		V(4)		V			4				M	0	0	1, 0, 2		1	1
15	15	57	1.0	1/4	1/4	4/4	2	1		V		G	V		V		V							M	0	0	1, 5, 2		1	1
15	15	58	2.0	1/2	1/2	4/4	2	1		V65		G	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	16	60	1.0	0	0	4/4	2	1		I(4)}		G	V		I(4)		I			4			}	M	0	0	0, -1, 1		0	0
16	16	61	1.0	1/4	1/4	4/4	2	1		I|IAC		G	V		I		I					IAC		M	0	0	0, 4, 1		0	0
16	16	62	2.0	1/2	1/2	4/4	2	1		V65/IV{		G	V		V65/IV		V		65		IV		{	Mm7	0	0	4, 1, -2, 0		0	4
17	17	64	2.0	0	0	4/4	2	1		IV		G	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
17	17	66	2.0	1/2	1/2	4/4	2	1		V65/V		G	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
18	18	68	2.0	0	0	4/4	2	1		V		G	V		V		V							M	0	0	1, 5, 2		1	1
