mc	mn	quarterbeats	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	duration_qb
82	82	695/2	5/8	5/8	4/4	2	1	viio6		E	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2	
82	82	348	3/4	3/4	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
82	82	697/2	7/8	7/8	4/4	2	1	V65/ii		E	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7	
83	83	349	0	0	4/4	2	1	ii		E	I		ii		ii							m	0	0	2, -1, 3		2	2	
83	83	699/2	1/8	1/8	4/4	2	1	V6/ii		E	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7	
83	83	350	1/4	1/4	4/4	2	1	V43/ii		E	I		V43/ii		V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4	
83	83	701/2	3/8	3/8	4/4	2	1	ii		E	I		ii		ii							m	0	0	2, -1, 3		2	2	
83	83	351	1/2	1/2	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
83	83	703/2	5/8	5/8	4/4	2	1	#viio6/ii		E	I		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4	
83	83	352	3/4	3/4	4/4	2	1	ii		E	I		ii		ii							m	0	0	2, -1, 3		2	2	
83	83	705/2	7/8	7/8	4/4	2	1	V65/IV		E	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4	
84	84	353	0	0	4/4	2	1	IV		E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	
84	84	707/2	1/8	1/8	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
84	84	354	1/4	1/4	4/4	2	1	V43/IV		E	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1	
84	84	709/2	3/8	3/8	4/4	2	1	IV		E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	
84	84	355	1/2	1/2	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
84	84	711/2	5/8	5/8	4/4	2	1	viio6		E	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2	
84	84	356	3/4	3/4	4/4	2	1	viio		E	I		viio		vii	o						o	0	0	5, 2, -1		5	5	
84	84	713/2	7/8	7/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
85	85	357	0	0	4/4	2	1	V65/ii		E	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7	
85	85	358	1/4	1/4	4/4	2	1	ii		E	I		ii		ii							m	0	0	2, -1, 3		2	2	
85	85	360	3/4	3/4	4/4	2	1	V(64)}		E	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1	
85	85	721/2	7/8	7/8	4/4	2	1	V|HC		E	I		V		V					HC		M	0	0	1, 5, 2		1	1	
86	86	361	0	0	4/4	2	1	{		E	I										{		0	0					0.0
86	86	1445/4	1/16	1/16	4/4	2	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
86	86	723/2	1/8	1/8	4/4	2	1	V(64)		E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	
86	86	1447/4	3/16	3/16	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
86	86	362	1/4	1/4	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
86	86	1449/4	5/16	5/16	4/4	2	1	V2/IV		E	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2	
86	86	725/2	3/8	3/8	4/4	2	1	vi64/IV		E	I		vi64/IV		vi		64		IV			m	0	0	3, 2, -1		2	3	
86	86	1451/4	7/16	7/16	4/4	2	1	viio6/IV		E	I		viio6/IV		vii	o	6		IV			o	0	0	1, -2, 4		4	1	
86	86	363	1/2	1/2	4/4	2	1	IV[IV		E	I	IV	IV		IV							M	0	0	-1, 3, 0		-1	-1	
86	86	727/2	5/8	5/8	4/4	2	1	viio/IV		E	I	IV	viio/IV		vii	o			IV			o	0	0	4, 1, -2		4	4	
86	86	364	3/4	3/4	4/4	2	1	IV]		E	I	IV	IV		IV							M	0	0	-1, 3, 0		-1	-1	
86	86	1457/4	13/16	13/16	4/4	2	1	IVM2		E	I		IVM2		IV	M	2					MM7	0	0	4, -1, 3, 0		-1	4	
86	86	729/2	7/8	7/8	4/4	2	1	V64		E	I		V64		V		64					M	0	0	2, 1, 5		1	2	
86	86	1459/4	15/16	15/16	4/4	2	1	vi6		E	I		vi6		vi		6					m	0	0	0, 4, 3		3	0	
87	87	365	0	0	4/4	2	1	V65		E	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	
87	87	366	1/4	1/4	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
87	87	367	1/2	1/2	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
87	87	368	3/4	3/4	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
88	88	369	0	0	4/4	2	1	V65		E	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	
88	88	370	1/4	1/4	4/4	2	1	i		E	I		i		i							m	0	0	0, -3, 1		0	0	
88	88	371	1/2	1/2	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
88	88	372	3/4	3/4	4/4	2	1	i6		E	I		i6		i		6					m	0	0	-3, 1, 0		0	-3	
89	89	373	0	0	4/4	2	1	V2/iv		E	I		V2/iv		V		2		iv			Mm7	0	0	-2, 0, 4, 1		0	-2	
89	89	374	1/4	1/4	4/4	2	1	iv6		E	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4	
89	89	375	1/2	1/2	4/4	2	1	V2/v		E	I		V2/v		V		2		v			Mm7	0	0	0, 2, 6, 3		2	0	
89	89	376	3/4	3/4	4/4	2	1	v6		E	I		v6		v		6					m	0	0	-2, 2, 1		1	-2	
90	90	377	0	0	13/4	2	1	V2/bVI		E	I		V2/bVI		V		2		bVI			Mm7	0	0	-5, -3, 1, -2		-3	-5	
90	90	755/2	1/8	1/8	13/4	2	1	bVI6		E	I		bVI6		bVI		6					M	0	0	0, -3, -4		-4	0	
90	90	378	1/4	1/4	13/4	2	1	V2/bVII		E	I		V2/bVII		V		2		bVII			Mm7	0	0	-3, -1, 3, 0		-1	-3	
90	90	757/2	3/8	3/8	13/4	2	1	bVII6		E	I		bVII6		bVII		6					M	0	0	2, -1, -2		-2	2	
90	90	379	1/2	1/2	13/4	2	1	V2		E	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	
90	90	759/2	5/8	5/8	13/4	2	1	i6		E	I		i6		i		6					m	0	0	-3, 1, 0		0	-3	
91	90	390	0	0	4/4	2	1	It6		E	I		It6	It	vii	o	6	b3	V			It	0	0	-4, 0, 6		6	-4	
91	90	392	1/2	1/2	4/4	2	1	V[V(4)		E	I	V	V(4)		V			4				M	0	0	1, 0, 2		1	1	
91	90	787/2	7/8	7/8	4/4	2	1	V		E	I	V	V		V							M	0	0	1, 5, 2		1	1	
91	90	396	3/2	3/2	4/4	2	1	vii%/V		E	I	V	vii%/V		vii	%			V			%7	0	0					
91	90	399	9/4	9/4	4/4	2	1	V(4)]		E	I	V	V(4)		V			4				M	0	0	1, 0, 2		1	1	
91	90	401	11/4	11/4	4/4	2	1	V|HC}		E	I		V		V					HC	}	M	0	0	1, 5, 2		1	1	
92	91	394	0	0	4/4	2	1	I{		E	I		I		I						{	M	0	0	0, 4, 1		0	0	
92	91	789/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
92	91	395	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
92	91	791/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
92	91	396	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
92	91	793/2	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
92	91	397	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
92	91	795/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
93	92	398	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
93	92	399	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
93	92	400	1/2	1/2	4/4	2	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
93	92	401	3/4	3/4	4/4	2	1	I(94)}		E	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0	
93	92	803/2	7/8	7/8	4/4	2	1	I|IAC		E	I		I		I					IAC		M	0	0	0, 4, 1		0	0	
94	93	402	0	0	4/4	2	1	I{		E	I		I		I						{	M	0	0	0, 4, 1		0	0	
94	93	805/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
94	93	403	1/4	1/4	4/4	2	1	IV6		E	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3	
94	93	807/2	3/8	3/8	4/4	2	1	iii6		E	I		iii6		iii		6					m	0	0	1, 5, 4		4	1	
94	93	404	1/2	1/2	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
94	93	809/2	5/8	5/8	4/4	2	1	#viio6/ii		E	I		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4	
94	93	405	3/4	3/4	4/4	2	1	VI6/ii		E	I		VI6/ii		VI		6		ii			M	0	0	2, -1, -2		-2	2	
94	93	811/2	7/8	7/8	4/4	2	1	V6/ii		E	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7	
95	94	406	0	0	4/4	2	1	ii		E	I		ii		ii							m	0	0	2, -1, 3		2	2	
95	94	813/2	1/8	1/8	4/4	2	1	viio		E	I		viio		vii	o						o	0	0	5, 2, -1		5	5	
95	94	407	1/4	1/4	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
95	94	815/2	3/8	3/8	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
95	94	408	1/2	1/2	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
95	94	817/2	5/8	5/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
95	94	409	3/4	3/4	4/4	2	1	I(4)}		E	I		I(4)		I			4			}	M	0	0	0, -1, 1		0	0	
95	94	819/2	7/8	7/8	4/4	2	1	I|PAC		E	I		I		I					PAC		M	0	0	0, 4, 1		0	0	
